,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,cluster,label
3548,100,1,205,3.05,1,0,0
3549,145,2,4,0.06,1,0,0
3550,100,5,44,1.68,1,0,1
3551,200,1,4,0.06,1,3,0
3552,80,1,353,5.26,1,0,0
3553,200,6,4,0.06,2,3,0
3555,120,3,80,1.74,2,0,0
3556,180,3,191,3.29,1,3,1
3557,379,2,96,1.52,1,3,0
3558,33,1,98,1.55,5,0,1
3560,199,30,4,0.07,52,3,0
3561,149,30,4,0.06,52,0,0
3563,98,8,37,0.59,1,0,0
3564,250,4,34,0.52,2,3,0
3565,60,1,4,0.06,1,0,1
3566,149,2,49,0.73,1,0,0
3568,85,3,122,1.93,1,0,0
3569,90,3,23,0.36,1,0,0
3570,47,5,11,0.16,3,0,1
3571,180,30,16,0.25,39,3,0
3572,110,3,1,0.04,1,0,1
3573,170,2,131,2.02,1,3,0
3574,210,5,25,0.42,1,3,0
3576,65,2,162,2.45,1,0,0
3578,225,2,14,0.29,1,3,0
3580,170,3,125,1.86,2,3,0
3581,62,2,4,0.19,2,0,1
3582,125,2,8,0.13,1,0,0
3583,106,1,1,0.02,1,0,1
3584,93,2,138,2.23,1,0,1
3585,85,5,44,0.77,1,0,1
3587,224,2,12,0.21,1,3,0
3588,145,1,52,0.82,1,0,1
3589,40,1,1,0.01,1,0,1
3590,135,2,150,2.42,3,0,1
3591,97,3,177,2.69,1,0,1
3592,69,60,43,0.65,2,0,1
3593,225,4,233,3.55,1,3,0
3595,215,3,2,0.04,1,3,0
3596,99,2,8,0.25,2,0,1
3599,60,1,10,0.16,2,0,1
3600,303,7,29,0.46,1,3,0
3602,111,3,104,1.65,1,0,0
3603,60,30,10,0.15,1,0,1
3604,320,2,172,2.99,1,3,0
3605,112,200,314,4.82,2,0,0
3606,185,2,159,3.2,1,3,0
3607,100,29,37,0.57,1,0,1
3608,150,1,1,0.02,1,0,0
3609,130,5,98,1.73,1,0,1
3610,130,5,9,0.18,1,0,0
3612,125,5,2,0.32,1,0,0
3613,190,4,216,3.34,1,3,0
3614,70,3,40,0.63,1,0,1
3615,599,1,5,0.14,2,1,0
3616,80,3,90,1.39,1,0,1
3618,100,6,29,0.47,1,0,0
3619,200,30,2,0.05,1,3,0
3620,60,2,13,0.45,1,0,1
3621,100,2,13,0.36,1,0,1
3623,90,3,82,1.29,1,0,1
3624,61,4,3,0.06,1,0,1
3626,100,7,14,0.24,1,0,1
3627,340,6,1,0.41,1,3,0
3628,75,2,183,3.03,3,0,1
3629,130,30,6,0.17,1,0,0
3630,140,2,6,0.1,1,0,0
3631,112,3,22,0.34,1,0,0
3632,160,3,25,0.4,1,0,0
3633,165,3,142,2.27,2,3,0
3634,80,30,8,0.12,3,0,1
3638,160,4,8,0.12,1,3,0
3640,150,2,94,2.55,1,0,0
3643,49,2,79,1.22,3,0,1
3644,675,5,3,0.05,1,1,0
3645,150,5,9,0.15,1,0,0
3647,79,1,259,3.93,1,0,1
3648,225,2,46,0.8,1,3,0
3649,90,2,145,2.26,1,0,1
3650,285,8,23,0.36,4,3,0
3651,300,2,2,0.06,1,3,0
3652,55,2,1,0.16,2,0,1
3653,80,5,81,1.26,1,0,0
3654,90,1,271,4.32,1,0,1
3655,325,2,3,0.05,1,3,0
3656,55,7,9,0.14,1,0,1
3657,208,2,38,0.6,1,3,1
3658,156,1,8,0.15,3,0,0
3659,85,4,9,0.22,1,0,0
3660,200,2,4,0.06,1,3,0
3661,180,2,2,0.03,1,3,0
3663,325,3,169,3.33,1,3,0
3665,160,6,65,1.19,1,0,0
3666,130,1,59,1.0,1,0,1
3667,110,1,136,3.1,1,0,1
3668,150,2,120,3.25,1,0,0
3669,149,2,121,2.06,2,0,1
3671,215,3,9,0.27,1,3,0
3672,155,1,21,0.38,1,0,0
3673,50,3,3,0.07,1,0,1
3675,65,2,2,0.05,2,0,1
3676,112,4,138,2.21,1,0,0
3677,250,3,107,1.64,1,3,0
3678,65,4,8,0.19,2,0,1
3680,99,1,153,2.39,4,0,0
3681,395,3,1,0.02,1,3,0
3683,185,7,19,0.31,1,3,0
3685,45,2,26,0.68,2,0,1
3688,55,2,17,0.27,2,0,1
3690,165,7,1,1.0,1,3,0
3691,285,2,47,0.74,1,3,0
3692,220,3,20,0.32,1,3,0
3693,75,2,11,0.2,1,0,1
3694,120,5,11,0.27,1,0,0
3698,100,3,10,0.15,1,0,0
3699,95,1,4,0.11,1,0,1
3701,119,2,146,2.21,2,0,1
3704,48,1,146,2.21,1,0,2
3705,30,30,125,1.88,1,0,2
3706,65,4,2,0.03,1,0,0
3707,79,15,15,0.29,2,0,1
3708,105,7,22,0.46,1,0,0
3709,420,2,2,0.04,1,3,0
3711,95,5,1,0.05,1,0,0
3712,290,2,25,0.39,1,3,0
3715,180,2,2,0.03,1,3,0
3716,380,3,11,0.18,1,3,0
3718,45,2,28,0.43,2,0,0
3719,300,1,2,0.05,1,3,0
3724,110,1,3,0.06,1,0,0
3725,105,2,281,4.29,1,0,0
3726,45,5,42,0.64,2,0,1
3728,80,13,109,1.66,1,0,0
3733,89,3,7,0.15,1,0,1
3734,129,5,1,0.02,1,0,1
3737,250,30,4,0.06,1,3,0
3738,250,1,2,0.03,1,3,0
3739,175,2,5,0.08,1,3,0
3740,40,3,10,0.16,1,0,1
3742,85,14,1,0.02,1,0,1
3743,219,4,21,0.33,2,3,0
3744,130,30,3,0.39,1,0,0
3745,149,30,4,0.09,52,0,0
3746,100,1,5,0.12,1,0,0
3747,289,3,41,0.96,2,3,0
3748,67,1,21,0.36,4,0,1
3749,221,2,252,4.91,1,3,0
3751,75,4,3,0.05,1,0,1
3759,112,30,22,0.34,6,0,0
3760,175,1,15,0.29,1,3,0
3761,1485,2,6,0.24,1,1,0
3762,120,2,5,0.19,1,0,0
3763,150,26,1,0.02,1,0,0
3764,369,2,1,0.02,1,3,0
3765,81,1,133,2.23,2,0,1
3766,89,3,152,2.67,1,0,1
3767,199,30,3,0.06,52,3,0
3769,45,2,211,3.25,1,0,1
3770,149,30,2,0.03,52,0,0
3773,65,2,13,0.22,1,0,1
3775,150,2,48,0.73,1,0,0
3777,199,3,8,0.16,1,3,0
3778,395,5,9,0.19,1,3,0
3780,130,30,28,0.43,1,0,0
3781,175,3,1,0.07,1,3,1
3783,90,1,170,2.92,1,0,1
3786,350,1,7,0.14,1,3,0
3787,250,2,3,0.06,1,3,0
3789,250,3,6,0.58,2,3,1
3791,180,2,97,1.83,1,3,0
3795,49,4,2,0.04,1,0,1
3797,91,4,106,2.82,1,0,1
3798,100,5,8,0.26,1,0,1
3799,152,1,5,0.14,1,0,0
3801,110,1,227,3.5,1,0,1
3805,135,2,3,0.06,1,0,0
3806,75,2,14,0.33,1,0,0
3809,250,7,2,0.04,1,3,0
3810,200,1,8,0.16,1,3,0
3811,75,3,5,0.08,2,0,1
3815,88,3,33,0.77,5,0,0
3817,975,2,1,0.02,1,1,0
3818,305,10,8,0.12,1,3,0
3819,220,2,146,3.45,1,3,0
3820,150,1,11,0.26,1,0,0
3821,49,4,4,0.07,2,0,1
3823,140,1,141,2.41,1,0,0
3824,86,1,52,0.79,1,0,0
3825,650,2,30,0.47,1,1,0
3827,225,2,3,0.09,1,3,0
3828,75,1,4,0.06,1,0,1
3829,150,1,49,0.75,1,0,0
3830,199,3,1,0.56,1,3,1
3831,95,4,204,3.1,2,0,0
3832,200,2,110,1.73,1,3,0
3833,200,3,45,0.73,1,3,0
3834,175,7,32,0.5,1,3,0
3835,129,30,3,0.08,52,0,0
3836,200,3,13,0.22,1,3,0
3837,60,3,11,0.18,3,0,1
3839,115,3,242,3.69,1,0,1
3840,135,2,80,1.22,1,0,1
3842,59,3,106,1.61,1,0,1
3843,196,2,232,4.31,1,3,0
3844,128,3,52,0.8,1,0,1
3846,200,30,11,0.18,1,3,0
3847,180,5,13,0.22,1,3,0
3848,60,30,16,0.28,2,0,1
3849,70,90,2,0.03,1,0,1
3850,40,2,76,1.29,1,0,1
3851,250,5,7,0.11,1,3,0
3852,80,2,17,0.39,1,0,0
3853,85,3,82,1.38,1,0,0
3854,70,1,196,3.03,1,0,1
3855,55,5,4,0.08,1,0,1
3857,100,2,9,0.14,1,0,1
3858,73,10,19,0.3,1,0,1
3860,65,2,183,2.82,1,0,1
3861,162,1,75,1.2,2,0,0
3862,275,30,9,0.14,1,3,0
3864,200,2,26,0.55,1,3,0
3865,250,5,176,2.72,1,3,0
3866,500,1,11,0.19,1,1,0
3867,120,30,14,0.22,1,0,0
3868,55,3,8,0.36,1,0,1
3869,59,1,126,2.15,4,0,1
3870,99,1,1,0.02,1,0,0
3871,155,1,75,1.3,1,0,0
3872,200,3,4,0.08,2,3,0
3873,60,4,23,0.35,1,0,1
3874,85,3,106,1.66,1,0,0
3875,150,3,30,0.48,2,0,1
3876,45,2,27,0.42,1,0,1
3877,200,2,53,2.51,2,3,0
3878,120,2,193,2.97,2,0,0
3880,195,4,137,2.13,2,3,0
3883,76,30,28,0.44,1,0,0
3885,500,3,74,1.17,1,1,0
3886,179,3,149,2.33,1,3,0
3887,200,1,30,0.5,3,3,1
3889,32,2,6,0.16,1,0,2
3890,50,3,16,0.25,2,0,1
3892,40,1,5,0.08,2,0,1
3893,62,21,39,0.65,3,0,1
3894,239,1,16,0.28,11,3,1
3895,179,5,22,0.37,1,3,0
3896,250,5,21,0.35,1,3,0
3897,400,5,8,0.13,1,3,0
3898,98,2,182,2.85,1,0,1
3899,89,1,99,1.55,1,0,1
3900,185,2,3,0.27,1,3,0
3901,125,3,13,0.34,1,0,1
3902,180,2,1,0.02,1,3,0
3903,30,5,34,0.52,2,0,2
3904,60,1,35,0.54,1,0,1
3905,115,2,130,2.3,1,0,1
3906,200,2,13,0.21,2,3,0
3908,179,30,14,0.27,2,3,0
3909,109,1,12,0.19,1,0,0
3910,124,5,263,4.1,2,0,1
3911,159,2,43,1.1,1,0,0
3912,85,10,9,0.14,1,0,0
3913,109,2,107,1.64,1,0,1
3914,110,10,1,0.02,1,0,0
3916,65,2,2,0.04,1,0,1
3917,112,2,20,1.44,1,0,1
3918,25,5,76,1.22,3,0,2
3920,79,3,43,0.71,2,0,0
3921,200,3,2,0.03,1,3,0
3922,55,4,21,0.34,4,0,1
3923,50,2,32,0.51,2,0,1
3924,129,30,9,0.16,52,0,0
3925,195,30,45,0.73,2,3,0
3926,79,2,8,0.13,1,0,0
3927,65,3,8,1.71,1,0,1
3928,123,2,8,0.13,1,0,0
3929,70,5,8,0.15,1,0,1
3930,100,2,37,0.58,2,0,1
3931,69,1,143,2.41,4,0,1
3932,450,1,10,0.16,1,1,0
3934,125,3,2,0.13,1,0,0
3935,75,1,35,0.55,2,0,1
3936,154,1,7,0.11,2,0,0
3937,60,14,12,0.19,1,0,0
3938,279,1,78,1.22,1,3,0
3939,80,3,3,0.05,2,0,1
3940,84,1,184,2.86,2,0,1
3941,180,6,1,1.0,1,3,0
3942,100,5,7,0.11,1,0,0
3943,86,2,20,0.31,2,0,1
3944,189,7,13,0.39,1,3,0
3945,130,365,6,0.1,1,0,0
3946,150,1,94,1.48,2,0,0
3947,149,30,1,0.07,52,0,0
3951,100,2,1,0.02,1,0,0
3952,145,2,21,0.45,1,0,1
3953,133,14,177,2.82,2,0,0
3954,75,7,186,2.93,1,0,1
3955,100,2,16,0.25,1,0,1
3956,99,1,94,1.46,1,0,2
3957,132,3,5,0.14,1,0,0
3958,72,2,27,0.44,1,0,1
3959,125,1,13,0.22,1,0,0
3960,102,7,26,0.41,1,0,0
3961,129,30,3,0.05,52,0,0
3962,107,30,35,0.55,1,0,0
3963,250,1,2,0.05,1,3,0
3964,90,3,8,0.25,2,0,1
3966,90,1,2,0.03,1,0,1
3967,200,5,20,0.33,1,3,1
3968,160,7,7,0.15,1,3,0
3969,124,5,196,3.02,2,0,1
3970,95,4,171,2.72,1,0,1
3971,129,30,2,0.04,52,0,0
3972,110,4,66,1.04,1,0,1
3973,92,2,173,2.71,1,0,1
3974,175,3,157,2.46,3,3,0
3976,134,2,157,2.45,1,0,0
3977,400,1,18,0.28,2,3,0
3978,152,270,5,0.1,1,0,0
3980,169,8,15,0.24,1,3,1
3981,95,2,156,2.43,2,0,1
3982,90,2,142,2.22,2,0,1
3983,60,1,19,1.34,1,0,1
3984,180,6,55,0.85,1,3,0
3985,84,3,150,2.38,1,0,1
3986,98,4,32,0.5,1,0,0
3987,90,7,21,0.33,1,0,0
3988,134,6,6,0.09,1,0,0
3989,119,2,32,1.09,1,0,1
3990,141,1,20,0.33,1,0,0
3991,199,4,3,0.05,1,3,0
3992,108,3,232,3.62,1,0,0
3993,150,5,3,0.05,1,0,0
3994,175,2,46,0.72,3,3,0
3995,90,3,5,0.08,1,0,1
3996,45,2,3,0.06,1,0,1
3998,63,3,146,2.28,2,0,0
3999,100,6,13,0.22,2,0,1
4000,110,1,38,0.63,1,0,1
4002,395,7,50,0.8,1,3,0
4003,70,3,1,0.02,2,0,1
4004,399,1,87,1.37,3,3,0
4005,145,14,22,0.35,1,0,0
4006,59,14,19,0.31,1,0,1
4007,50,10,1,0.03,1,0,1
4008,145,2,52,0.86,1,0,0
4009,245,2,3,0.07,1,3,0
4010,149,1,158,3.11,2,0,1
4011,50,1,1,0.02,1,0,1
4012,150,1,1,0.02,1,0,0
4014,60,1,2,0.03,1,0,0
4015,165,5,7,0.11,1,3,0
4016,53,1,162,2.51,4,0,1
4018,38,1,40,0.62,4,0,1
4019,49,1,96,1.51,4,0,1
4020,47,1,90,1.43,4,0,1
4021,120,2,15,0.24,1,0,0
4022,175,2,45,0.76,1,3,0
4023,129,30,16,0.25,5,0,0
4024,105,1,1,0.02,1,0,1
4025,275,2,3,0.05,1,3,0
4027,210,1,32,0.5,1,3,0
4028,65,1,1,0.02,1,0,1
4029,52,3,5,0.11,1,0,1
4030,100,1,13,0.51,2,0,1
4031,91,2,26,0.44,1,0,1
4032,124,5,124,1.93,2,0,0
4034,550,1,24,0.38,1,1,0
4035,70,6,40,0.73,1,0,1
4036,150,1,156,2.46,1,0,0
4037,176,3,168,2.64,2,3,0
4038,99,30,9,0.14,1,0,0
4039,130,6,2,0.06,1,0,0
4040,109,1,208,3.22,1,0,0
4041,75,2,124,1.92,1,0,1
4042,95,4,7,0.11,1,0,1
4043,50,7,1,0.02,1,0,1
4044,100,2,38,0.61,2,0,1
4045,68,1,86,1.36,1,0,1
4046,104,3,298,4.67,1,0,1
4047,30,15,1,0.08,1,0,1
4048,595,4,22,0.39,1,1,0
4049,65,9,12,0.19,1,0,1
4050,55,1,10,0.2,1,0,2
4051,250,6,6,0.09,1,3,0
4052,85,10,40,0.64,1,0,0
4053,90,5,109,1.73,2,0,1
4054,90,3,2,0.03,1,0,1
4055,90,14,2,0.14,1,0,0
4056,199,13,2,0.03,1,3,0
4057,275,30,2,0.03,1,3,0
4059,150,3,23,0.36,1,0,1
4060,140,2,14,0.22,1,0,0
4062,60,1,44,1.24,3,0,1
4063,36,10,2,0.03,1,0,1
4064,85,3,51,1.27,1,0,1
4065,85,1,4,0.11,1,0,1
4066,45,7,30,0.48,1,0,1
4067,92,3,227,3.61,1,0,0
4068,30,1,1,0.02,1,0,1
4069,75,1,3,0.05,1,0,1
4070,99,6,15,0.24,1,0,0
4071,100,20,7,0.21,1,0,0
4072,115,3,54,0.94,1,0,0
4073,175,5,16,0.25,1,3,0
4074,112,4,19,0.52,2,0,0
4075,450,7,6,0.16,1,1,0
4076,103,30,7,0.23,29,0,0
4078,150,5,9,0.14,1,0,0
4079,129,1,40,0.85,2,0,1
4080,145,3,8,0.13,1,0,0
4083,90,2,1,0.02,1,0,0
4084,100,30,99,1.57,2,0,0
4085,41,2,12,0.35,2,0,1
4086,145,30,1,0.11,29,0,0
4087,139,30,4,0.07,29,0,0
4088,117,30,6,0.11,29,0,0
4089,50,5,5,0.12,1,0,1
4090,80,1,254,4.02,1,0,1
4091,100,5,10,0.16,1,0,0
4092,225,3,12,0.19,1,3,0
4093,70,1,7,2.21,1,0,1
4094,80,3,2,0.03,1,0,1
4095,70,2,228,4.27,1,0,1
4096,31,1,60,0.97,5,0,1
4097,40,1,25,0.39,1,0,1
4098,290,4,12,0.2,1,3,0
4099,235,4,23,0.36,1,3,0
4100,200,1,2,0.06,1,3,0
4102,110,1,5,0.88,1,0,0
4103,120,3,5,0.09,2,0,1
4104,142,30,1,0.03,29,0,0
4105,105,3,21,0.33,3,0,1
4106,100,10,4,0.06,1,0,0
4107,102,2,6,0.26,1,0,1
4108,152,1,334,5.2,1,0,0
4109,150,28,22,0.38,2,0,0
4110,95,3,25,3.04,1,0,0
4111,67,5,50,0.8,5,0,1
4112,65,2,51,0.81,1,0,1
4113,79,22,21,0.34,4,0,1
4114,55,1,151,2.37,2,0,1
4115,83,60,1,0.02,1,0,0
4116,200,30,38,0.65,1,3,0
4118,160,10,18,0.28,1,0,0
4119,80,2,61,3.13,1,0,0
4120,159,2,1,0.05,1,0,0
4121,90,30,13,0.25,1,0,0
4122,45,4,11,0.19,2,0,2
4123,100,1,103,2.21,1,0,1
4124,125,3,16,0.25,1,0,0
4126,80,4,143,2.24,1,0,1
4127,2300,3,32,0.53,1,4,0
4128,90,30,62,1.2,3,0,0
4129,140,3,2,0.04,1,0,0
4130,52,5,7,0.18,3,0,1
4131,200,2,9,0.18,1,3,0
4133,40,5,8,0.13,1,0,2
4134,55,2,12,0.2,1,0,1
4135,69,5,6,0.1,2,0,1
4136,200,3,6,0.09,1,3,0
4137,100,1,104,1.65,1,0,0
4138,53,20,16,0.27,1,0,0
4139,425,3,24,0.39,1,3,1
4140,40,3,46,0.72,2,0,1
4141,40,2,32,0.5,1,0,1
4143,65,3,1,0.02,1,0,1
4144,109,1,288,4.58,4,0,1
4145,60,5,66,1.05,1,0,1
4146,180,3,13,0.21,2,3,0
4147,95,2,126,1.98,1,0,1
4148,140,7,49,0.82,3,0,1
4149,155,3,4,0.07,1,0,0
4150,105,5,132,2.09,1,0,0
4151,45,2,53,0.83,1,0,1
4152,330,10,1,0.02,1,3,0
4154,100,2,198,3.1,1,0,1
4155,49,3,74,1.16,1,0,1
4156,65,1,1,0.09,1,0,0
4157,70,1,6,0.11,1,0,1
4158,180,3,7,0.11,1,3,0
4159,130,30,1,0.02,1,0,0
4160,225,3,95,1.51,2,3,0
4162,85,2,24,0.63,1,0,1
4164,99,30,8,0.14,8,0,0
4165,95,2,185,2.92,1,0,1
4166,400,3,7,0.15,1,3,0
4167,99,3,81,1.28,3,0,1
4168,85,3,100,1.6,3,0,1
4169,90,5,16,0.25,1,0,0
4170,85,5,32,0.66,3,0,0
4171,130,6,5,0.08,1,0,0
4172,95,1,32,0.75,1,0,1
4173,149,30,2,0.08,52,0,0
4174,225,7,2,0.04,1,3,0
4175,135,2,2,0.03,1,0,0
4176,140,2,41,0.73,1,0,0
4177,200,5,4,0.07,1,3,0
4178,159,30,7,0.12,52,3,0
4179,200,2,17,1.68,1,3,0
4180,155,28,23,0.36,2,0,0
4181,125,150,18,0.29,1,0,0
4182,71,4,18,0.37,2,0,1
4183,75,2,26,1.22,2,0,1
4184,275,3,7,0.11,3,3,0
4186,250,1,1,0.02,1,3,0
4187,200,2,129,2.03,1,3,0
4188,90,30,3,0.08,1,0,0
4189,50,4,2,0.09,2,0,1
4190,124,4,65,1.06,1,0,0
4192,50,5,37,0.59,1,0,1
4193,75,2,1,0.02,1,0,1
4194,90,4,1,0.03,1,0,1
4195,130,3,92,1.45,1,0,0
4196,140,1,19,0.3,1,0,0
4197,200,3,2,0.03,1,3,0
4198,350,5,6,0.12,1,3,0
4199,100,2,23,0.39,1,0,0
4200,225,1,1,0.02,1,3,0
4201,65,1,3,0.07,2,0,1
4202,145,5,171,2.75,2,0,0
4203,189,5,14,0.25,1,3,0
4204,265,3,6,0.1,1,3,0
4205,409,1,3,0.05,1,3,0
4206,95,4,12,0.19,1,0,1
4207,175,3,89,1.41,1,3,1
4208,55,1,115,1.82,5,0,1
4209,200,4,36,0.57,1,3,0
4210,200,5,51,0.81,1,3,0
4211,69,1,159,2.89,4,0,1
4212,135,5,33,0.53,1,0,0
4213,325,4,12,0.2,1,3,0
4214,95,2,267,4.2,1,0,1
4215,117,30,3,0.09,29,0,0
4216,59,30,65,1.33,2,0,1
4217,85,2,65,1.03,4,0,2
4218,55,1,51,0.82,4,0,1
4219,80,2,349,5.54,1,0,1
4220,115,13,2,0.04,1,0,0
4221,78,12,43,0.74,1,0,1
4222,150,3,38,0.6,3,0,1
4223,195,5,3,0.05,1,3,0
4224,142,10,8,0.13,1,0,0
4226,55,7,10,0.16,1,0,2
4227,97,30,5,0.12,1,0,0
4228,70,20,11,0.21,1,0,0
4229,70,1,225,3.53,1,0,2
4230,155,5,24,0.4,1,0,1
4231,68,30,3,0.09,1,0,0
4232,68,9,31,0.61,1,0,1
4233,150,2,52,1.33,1,0,0
4235,150,6,1,0.02,1,0,0
4236,100,1,1,0.07,1,0,1
4237,110,30,101,1.61,2,0,0
4238,150,3,1,0.02,1,0,0
4240,218,6,53,0.9,1,3,0
4241,430,1,24,0.38,4,3,0
4242,79,3,115,2.83,2,0,1
4243,120,1,58,0.91,1,0,0
4244,200,5,42,0.67,1,3,0
4245,120,5,12,0.19,3,0,1
4247,200,30,28,0.45,3,3,0
4248,75,1,1,0.02,1,0,0
4249,175,1,2,0.03,1,3,0
4250,76,31,1,0.04,1,0,0
4251,75,1,2,0.1,1,0,0
4252,400,30,22,0.35,2,3,0
4253,75,1,48,0.77,4,0,1
4254,189,3,1,0.02,1,3,0
4255,55,1,1,0.02,1,0,1
4256,80,5,11,0.18,1,0,1
4257,69,3,19,0.31,1,0,1
4258,100,4,1,0.02,1,0,1
4259,100,1,1,0.02,1,0,0
4260,300,5,19,0.3,1,3,0
4261,53,3,209,3.29,2,0,1
4262,179,2,15,0.26,1,3,0
4264,130,4,45,0.82,1,0,0
4265,120,4,89,1.54,2,0,0
4266,150,7,25,0.42,1,0,1
4267,105,30,5,0.09,29,0,0
4268,150,1,197,3.19,3,0,0
4269,200,1,1,0.02,1,3,0
4270,39,30,18,0.3,6,0,1
4271,67,5,6,0.12,1,0,0
4272,200,4,7,0.93,1,3,0
4273,129,30,3,0.05,52,0,0
4274,55,1,67,1.11,15,0,1
4275,65,50,30,0.48,1,0,1
4276,100,3,18,0.29,1,0,0
4278,240,1,1,0.02,1,3,0
4279,150,3,33,0.52,1,0,0
4280,299,2,155,2.46,1,3,0
4281,160,2,175,2.78,1,0,0
4284,199,30,5,0.08,52,3,0
4285,100,1,34,0.55,1,0,1
4286,45,4,120,1.92,1,0,1
4287,44,2,135,2.13,4,0,1
4290,185,5,4,0.08,1,3,0
4292,650,2,67,1.76,2,1,0
4293,100,2,11,0.18,1,0,1
4294,111,3,104,1.65,1,0,1
4295,99,30,8,0.19,8,0,0
4296,75,7,18,0.31,1,0,1
4297,103,30,3,0.06,29,0,0
4298,130,4,56,1.55,1,0,0
4299,109,30,20,0.34,8,0,0
4301,100,5,3,0.05,1,0,0
4302,155,29,5,0.08,1,0,0
4303,60,2,55,2.64,1,0,1
4304,195,6,11,0.18,1,3,0
4305,69,6,78,1.25,1,0,0
4306,72,2,65,1.05,1,0,1
4307,300,2,13,0.24,1,3,0
4308,119,30,4,0.13,29,0,0
4309,100,30,5,0.09,1,0,1
4310,199,1,72,1.14,11,3,1
4311,75,1,3,0.33,2,0,1
4312,100,21,62,1.22,2,0,1
4313,125,2,27,1.0,2,0,0
4314,95,5,25,0.4,1,0,0
4315,295,2,110,1.74,3,3,0
4316,149,1,10,0.17,1,0,1
4317,150,10,6,0.1,1,0,0
4318,100,5,177,2.87,1,0,0
4320,385,5,44,0.75,1,3,0
4321,87,2,132,3.31,2,0,0
4322,180,4,5,0.1,1,3,0
4323,59,2,48,0.78,4,0,1
4324,95,2,234,3.74,1,0,1
4325,130,25,3,0.05,1,0,0
4326,120,5,136,2.2,1,0,0
4327,113,2,255,4.05,1,0,1
4328,60,1,135,2.14,4,0,1
4329,40,7,16,0.5,1,0,1
4330,250,5,2,0.03,1,3,0
4333,149,6,2,0.04,1,0,0
4334,169,4,33,0.54,1,3,0
4335,105,2,88,1.4,1,0,1
4336,42,7,6,0.1,1,0,1
4338,200,1,9,0.14,1,3,0
4339,160,1,44,0.74,2,0,0
4340,155,2,42,0.67,1,0,1
4341,151,3,34,0.54,5,0,0
4342,200,1,1,0.02,1,3,0
4343,80,2,9,0.14,1,0,1
4344,119,3,2,0.05,1,0,0
4345,5000,6,10,0.16,1,4,1
4346,45,1,91,1.58,2,0,1
4347,115,7,5,0.08,1,0,0
4348,65,1,56,1.06,3,0,1
4349,87,4,9,0.63,1,0,1
4350,110,14,9,0.14,1,0,1
4351,80,2,71,1.13,1,0,1
4353,63,4,65,1.34,1,0,1
4354,200,5,37,0.78,2,3,0
4355,185,3,9,0.16,1,3,0
4356,250,2,18,1.83,1,3,0
4357,130,2,57,0.94,1,0,0
4358,185,4,65,1.18,1,3,0
4359,75,2,5,0.08,1,0,1
4360,240,4,229,3.67,2,3,0
4361,65,1,4,0.08,1,0,1
4362,195,2,32,0.51,1,3,0
4363,200,1,46,0.74,1,3,0
4364,120,2,209,4.07,1,0,1
4365,180,1,183,2.9,1,3,0
4366,53,3,89,1.44,2,0,1
4367,200,1,10,0.16,1,3,0
4368,100,3,60,2.26,1,0,1
4369,86,3,62,1.07,1,0,0
4370,225,3,6,0.1,1,3,0
4371,40,3,136,2.21,2,0,1
4372,60,365,9,0.15,1,0,0
4373,70,1,13,0.21,1,0,1
4374,35,30,1,1.0,18,0,1
4375,250,3,136,2.17,1,3,0
4376,4500,1,5,0.09,11,4,0
4377,8000,1,1,0.03,11,2,0
4379,255,2,60,0.97,2,3,0
4380,290,1,77,1.25,1,3,0
4382,115,7,11,0.3,1,0,0
4383,299,3,13,0.56,1,3,0
4384,160,2,13,0.55,1,0,0
4385,175,1,1,0.02,1,3,2
4386,120,1,365,5.81,1,0,1
4387,179,1,8,0.13,11,3,1
4388,74,4,106,1.71,2,0,1
4389,68,1,152,2.42,2,0,1
4390,235,1,34,0.68,1,3,1
4391,100,5,2,0.07,1,0,1
4392,270,3,13,0.22,1,3,0
4393,200,14,2,0.04,1,3,0
4395,60,2,2,0.04,2,0,1
4396,155,4,44,0.7,1,0,0
4397,95,1,270,4.5,1,0,1
4398,125,2,11,0.27,1,0,0
4399,118,30,1,0.03,29,0,0
4400,80,7,95,1.56,1,0,1
4401,210,3,4,0.11,2,3,0
4402,150,2,10,0.16,1,0,0
4403,135,2,133,2.19,1,0,0
4404,118,30,3,0.06,29,0,0
4405,110,3,40,1.48,2,0,1
4406,70,2,8,0.17,1,0,1
4407,43,1,127,2.77,2,0,1
4408,140,2,205,3.26,1,0,0
4409,116,30,1,0.02,29,0,0
4410,159,30,6,0.12,52,3,0
4411,135,2,296,4.84,1,0,0
4412,39,7,13,0.36,6,0,1
4413,59,20,16,0.28,1,0,1
4414,600,30,2,0.03,1,1,0
4415,66,1,6,0.11,2,0,1
4416,130,30,2,0.03,52,0,0
4417,100,3,284,4.57,1,0,0
4418,50,7,1,0.94,1,0,1
4419,185,2,34,0.56,1,3,1
4420,54,1,4,0.07,1,0,1
4421,100,6,2,0.11,1,0,0
4422,180,1,6,0.1,1,3,0
4423,115,30,43,0.7,1,0,0
4424,350,3,11,0.19,1,3,0
4425,32,7,3,0.07,3,0,1
4426,165,8,23,0.38,1,3,0
4427,350,2,12,0.19,1,3,0
4429,200,4,15,0.32,1,3,0
4430,175,5,5,0.1,1,3,0
4431,50,2,58,0.96,2,0,1
4432,190,1,11,0.18,1,3,0
4433,110,2,37,0.6,1,0,1
4434,414,3,2,0.06,1,3,0
4436,150,30,2,0.03,52,0,0
